代码	名称(55)	涨幅%	封单额	涨速%	总金额	振幅%	换手%	现价	涨跌	买价	卖价	总量	现量	今开	最高	最低	昨收	市盈(动)	量比	细分行业	地区	均价	内盘	外盘	内外比	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘换手Z	封成比	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	
159915	创业板ETF	-1.79	--  	-0.04	502741.76	2.12	          4.96	2.084	-0.038	2.084	2.085	23885768	191031	2.104	2.125	2.080	2.122	--  	  0.83	创业板指	易方达基金	2.105	12091738	11794030	  1.03	58471	56181	--  	65.27	          0.65	          0.04	3981.11	-2362.91	  -0.02	666587.14	--  	0.05	--  	--  	--  	--  	--  	       1003.46亿	 -0.51	   4735	-1	0.52	
159875	新能源ETF	-1.56	--  	0.00	4942.88	2.92	          4.45	0.505	-0.008	0.505	0.506	972318	1307	0.508	0.515	0.500	0.513	--  	  0.59	中证新能	嘉实基金	0.508	500321	471997	  1.06	18514	3583	--  	9.52	          0.11	          0.01	6.60	-140.48	  -0.13	6532.80	--  	0.00	--  	--  	--  	--  	--  	         11.04亿	 -0.28	   1344	-1	1.99	
159852	软件ETF	-5.52	--  	-0.13	13765.77	5.65	         11.76	0.736	-0.043	0.736	0.737	1840742	7285	0.767	0.776	0.732	0.779	--  	  1.07	中证软件	嘉实基金	0.748	1055807	784935	  1.35	4216	3513	--  	64.60	          0.32	          0.05	53.62	-3125.93	  -2.71	18453.14	--  	0.00	--  	--  	--  	--  	--  	         11.52亿	 -4.24	   2825	-1	0.52	
159851	金融科技ETF	-7.32	--  	0.30	37859.95	8.14	         27.35	1.343	-0.106	1.342	1.343	2744058	17273	1.450	1.450	1.332	1.449	--  	  1.73	金融科技	华宝兴业基金	1.380	1332139	1411919	  0.94	712	4678	--  	-50.82	          0.50	          0.17	231.98	-8423.85	  -6.25	45195.44	--  	0.00	--  	--  	--  	--  	--  	         13.48亿	 -6.03	   3721	-1	3.43	
159845	中证1000ETF	-3.33	--  	-0.20	143205.12	3.29	          4.44	2.412	-0.083	2.411	2.412	5867195	16499	2.485	2.493	2.411	2.495	--  	  0.94	中证1000	华夏基金	2.441	2846894	3020301	  0.94	2285	522	--  	80.58	          0.22	          0.01	397.95	1810.12	   0.06	148975.09	--  	0.00	--  	--  	--  	--  	--  	        318.49亿	 -2.05	   2811	-1	1.71	
159842	券商ETF	-0.91	--  	0.00	19667.41	3.19	         11.19	1.087	-0.010	1.086	1.087	1787739	7825	1.092	1.119	1.084	1.097	--  	  1.23	证券公司	银华基金	1.100	945973	841766	  1.12	4902	331	--  	66.29	          0.35	          0.05	85.06	-143.97	  -0.08	27306.73	--  	0.00	--  	--  	--  	--  	--  	         17.37亿	  0.37	   2409	-1	2.91	
159841	证券ETF	-1.14	--  	0.00	37892.97	3.12	          6.63	1.044	-0.012	1.044	1.045	3581606	27232	1.050	1.076	1.043	1.056	--  	  1.07	证券公司	天弘基金	1.058	1974440	1607166	  1.23	4728	3667	--  	78.81	          0.61	          0.05	284.30	1555.13	   0.28	61642.28	--  	0.00	--  	--  	--  	--  	--  	         56.43亿	  0.15	   3524	-1	2.92	
159840	锂电池ETF	-0.75	--  	0.00	9320.10	2.64	          9.43	0.526	-0.004	0.525	0.526	1757576	3641	0.529	0.536	0.522	0.530	--  	  1.30	新能电池	工银瑞信基金	0.530	712755	1044821	  0.68	5662	546	--  	3.55	          0.19	          0.02	19.15	94.88	   0.10	6379.02	--  	-0.18	--  	--  	--  	--  	--  	          9.80亿	  0.53	   1245	-1	0.38	
159819	人工智能ETF	-4.09	--  	-0.11	47307.44	3.86	          7.30	0.845	-0.036	0.845	0.846	5498707	27393	0.875	0.878	0.844	0.881	--  	  1.19	CS人工智	易方达基金	0.860	2886807	2611900	  1.11	50245	13018	--  	63.01	          0.41	          0.04	231.47	-11361.34	  -1.79	49576.66	--  	0.00	--  	--  	--  	--  	--  	         63.61亿	 -2.80	   3972	-1	1.15	
159813	半导体ETF	-3.68	--  	-0.26	44560.10	3.55	          8.12	0.733	-0.028	0.733	0.734	5976602	31649	0.756	0.760	0.733	0.761	--  	  0.81	国证芯片	鹏华基金	0.746	3142954	2833648	  1.11	56330	38819	--  	40.15	          0.43	          0.04	231.99	-8122.40	  -1.50	58734.20	--  	-0.25	--  	--  	--  	--  	--  	         53.97亿	 -2.40	   4155	-1	2.01	
159807	科技ETF	-2.33	--  	0.00	5865.92	2.53	          4.29	0.502	-0.012	0.502	0.503	1155625	7639	0.510	0.515	0.502	0.514	--  	  0.72	科技50	易方达基金	0.508	749720	405905	  1.85	20801	11705	--  	57.37	          0.54	          0.03	38.35	-725.03	  -0.54	9635.90	--  	0.20	--  	--  	--  	--  	--  	         13.52亿	 -1.05	   1654	-1	1.18	
159801	芯片ETF龙头	-3.39	--  	0.18	15805.16	3.39	          4.75	0.570	-0.020	0.570	0.571	2725729	13288	0.585	0.589	0.569	0.590	--  	  1.20	国证芯片	广发基金	0.580	1680089	1045640	  1.61	5575	6494	--  	44.50	          0.40	          0.02	75.74	-2676.45	  -0.82	14454.84	--  	0.00	--  	--  	--  	--  	--  	         32.69亿	 -2.11	   2482	-1	2.08	
159792	港股通互联网ETF	0.00	--  	0.14	138900.10	1.87	          7.40	0.694	0.000	0.694	0.695	19978772	57086	0.696	0.703	0.690	0.694	--  	  0.89	港股通互联网	富国基金	0.695	8658455	11320317	  0.76	7583	78874	--  	-9.97	          0.23	          0.02	396.19	161.13	   0.01	128250.07	--  	0.00	--  	--  	--  	--  	--  	        187.40亿	  1.28	   2136	0	0.29	
159768	房地产ETF	1.89	--  	0.31	7938.50	3.14	         14.19	0.648	0.012	0.647	0.648	1225910	3107	0.643	0.656	0.636	0.636	--  	  1.02	内地地产	银华基金	0.648	593223	632687	  0.94	137	3988	--  	8.03	          0.34	          0.06	20.13	919.76	   1.64	12186.21	--  	0.00	--  	--  	--  	--  	--  	          5.60亿	  3.17	   1586	3	3.08	
159740	恒生科技ETF	-1.00	--  	0.17	135544.56	1.82	         28.57	0.597	-0.006	0.596	0.597	22630148	152366	0.601	0.606	0.595	0.603	--  	  0.98	恒生科技指数	大成基金	0.599	11724840	10905307	  1.08	185963	125487	--  	-18.76	          0.54	          0.20	909.63	-2721.74	  -0.58	140792.35	--  	0.00	--  	--  	--  	--  	--  	         47.28亿	  0.29	   3210	-1	0.00	
159531	中证2000ETF	-4.90	--  	-0.20	13167.31	4.71	         22.46	0.970	-0.050	0.970	0.971	1330912	14791	1.017	1.018	0.970	1.020	--  	  0.97	中证2000	南方基金	0.989	772768	558144	  1.38	8214	26	--  	-8.70	          0.89	          0.25	143.47	-492.72	  -0.86	14309.49	--  	0.00	--  	--  	--  	--  	--  	          5.75亿	 -3.62	   1864	-1	2.31	
159509	纳指科技ETF	-1.87	--  	-0.06	211842.87	2.58	         22.45	1.520	-0.029	1.520	1.521	13953025	85499	1.503	1.535	1.495	1.549	--  	  1.35		景顺长城基金	1.518	6167811	7785214	  0.79	35586	11961	--  	20.82	          0.49	          0.14	1299.58	-5893.48	  -0.62	147549.26	--  	0.00	--  	--  	--  	--  	--  	         94.46亿	 -0.59	   4373	-2	-2.15	
数据来源:通达信
