代码	名称	涨幅%	封单额	涨速%	总金额	量比	换手%	振幅%	现价	买价	卖价	涨跌	总量	现量	今开	最高	最低	昨收	市盈(动)	细分行业	地区	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z%	市盈(TTM)	
123122	富瀚转债	1.07	--  	0.04	13892.47	  0.36	         21.56	1.52	110.701	110.701	110.750	1.171	125255	738	110.297	111.600	109.934	109.530	--  	上证		110.913	62516	62739	  1.00	21	1	--  	--  	--  	--  	          0.06	          6.43亿	--  	 -2.62	   3200	     39	        0.0067	1	-1.68	3.65	-2.91	-12.77	-16.59	0	--  	--  	--  	--  	
113502	嘉澳转债	1.06	--  	-0.02	3367.73	  1.08	         15.37	1.46	119.09	119.10	119.13	1.25	28318	2	118.57	119.72	118.00	117.84	--  	深证		118.93	15110	13208	  1.14	5	17	--  	--  	--  	--  	          0.02	          2.19亿	--  	 -1.34	   2347	     12	        0.0065	3	2.11	4.64	-7.40	-24.14	-6.74	0	--  	--  	--  	--  	
123103	震安转债	1.05	--  	-0.14	2939.13	  0.28	          9.43	1.30	125.000	125.000	125.189	1.300	23531	205	124.700	125.606	124.000	123.700	--  	上证		124.904	12419	11113	  1.12	50	3	--  	--  	--  	--  	          0.02	          3.12亿	--  	 -2.64	   1145	     21	        0.0082	4	0.26	4.51	-4.80	-29.95	-36.46	0	--  	--  	--  	--  	
127031	洋丰转债	1.04	--  	0.22	5490.80	  1.51	          4.40	6.46	122.770	122.700	122.770	1.264	44000	51	121.992	129.362	121.513	121.506	--  	上证		124.791	22301	21699	  1.03	3	23	--  	--  	--  	--  	          0.10	         12.28亿	--  	 -2.65	   1367	     32	        0.0032	3	1.26	5.69	-1.31	-4.23	-5.82	0	--  	--  	--  	--  	
123004	铁汉转债	1.02	--  	0.00	1238.32	  1.11	          1.47	1.10	105.520	105.520	105.569	1.070	11791	35	104.510	105.655	104.510	104.450	--  	上证		105.022	5198	6593	  0.79	9	10	--  	--  	--  	--  	          0.08	          8.48亿	--  	 -2.67	    802	     15	        0.0018	1	-0.19	0.95	-1.53	-4.17	-3.61	0	--  	--  	--  	--  	
123126	瑞丰转债	1.02	--  	-0.06	564.83	  0.39	          1.51	1.02	110.283	110.283	110.330	1.118	5122	17	109.580	110.690	109.578	109.165	--  	上证		110.276	1881	3241	  0.58	1	1	--  	--  	--  	--  	          0.03	          3.75亿	--  	 -2.67	    468	     11	        0.0032	2	0.34	1.18	-1.26	-6.46	-7.01	0	--  	--  	--  	--  	
113639	华正转债	1.01	--  	0.01	975.99	  0.75	          1.66	1.09	103.56	103.54	103.64	1.04	9440	2	102.83	103.95	102.83	102.52	--  	深证		103.39	4849	4591	  1.06	4	1	--  	--  	--  	--  	          0.06	          5.90亿	--  	 -1.39	   1168	      8	        0.0014	1	-0.07	1.50	-5.68	3.56	3.56	0	--  	--  	--  	--  	
128125	华阳转债	1.01	--  	0.00	675.39	  0.98	          1.42	0.97	105.831	105.831	105.833	1.061	6410	22	105.084	105.917	104.901	104.770	--  	上证		105.365	3846	2564	  1.50	6	4	--  	--  	--  	--  	          0.04	          4.76亿	--  	 -2.68	    684	      9	        0.0021	1	-0.50	0.54	-0.18	-11.64	-9.28	0	--  	--  	--  	--  	
113516	苏农转债	1.01	--  	-0.04	3548.71	  0.80	          2.34	2.17	118.02	118.00	118.09	1.18	30164	4	117.95	119.01	116.48	116.84	--  	深证		117.65	15589	14575	  1.07	393	5	--  	--  	--  	--  	          0.13	         15.21亿	--  	 -1.40	   1811	     17	        0.0013	2	0.99	1.72	1.83	-5.57	-1.22	0	--  	--  	--  	--  	
113585	寿仙转债	1.01	--  	0.00	73777.69	  1.76	        409.72	7.88	178.11	177.85	178.15	1.78	411077	8	176.33	187.50	173.61	176.33	--  	深证		179.47	196397	214680	  0.91	1	9	--  	--  	--  	--  	          0.01	          1.79亿	--  	 -1.40	   4526	     91	        0.0905	4	3.93	7.09	-13.86	-7.55	-18.47	0	--  	--  	--  	--  	
113505	杭电转债	1.00	--  	-0.01	1755.26	  1.69	          2.13	1.80	110.10	110.00	110.15	1.09	15959	3	108.59	110.55	108.59	109.01	--  	深证		109.99	8122	7837	  1.04	810	2	--  	--  	--  	--  	          0.07	          8.26亿	--  	 -1.41	    826	     19	        0.0026	1	-0.10	1.18	-2.30	-9.23	-12.24	0	--  	--  	--  	--  	
123099	普利转债	1.00	--  	-0.05	3074.30	  2.17	          3.31	1.48	109.120	109.120	109.299	1.080	28107	70	108.340	109.943	108.340	108.040	--  	上证		109.378	7654	20454	  0.37	2	4	--  	--  	--  	--  	          0.08	          9.27亿	--  	 -2.69	    694	     41	        0.0048	2	0.84	1.56	-10.19	-17.70	-24.74	0	--  	--  	--  	--  	
110055	伊力转债	0.99	--  	-0.19	92500.69	  0.81	        200.63	4.60	186.67	186.75	186.78	1.83	488730	1	190.50	193.80	185.29	184.84	--  	深证		189.27	242587	246143	  0.99	16	55	--  	--  	--  	--  	          0.02	          4.55亿	--  	 -1.42	   4477	    109	        0.0448	1	-2.53	0.01	0.06	-2.36	-8.12	0	--  	--  	--  	--  	
123119	康泰转2	0.99	--  	0.04	3611.52	  0.95	          1.62	1.50	111.999	111.952	111.999	1.098	32330	124	110.901	112.278	110.613	110.901	--  	上证		111.708	12815	19516	  0.66	9	19	--  	--  	--  	--  	          0.20	         22.40亿	--  	 -2.70	   2236	     14	        0.0007	3	0.22	1.82	-6.12	-11.44	-15.15	0	--  	--  	--  	--  	
128114	正邦转债	0.96	--  	0.10	5617.47	  0.80	          3.51	0.96	100.900	100.900	100.901	0.960	55972	707	99.990	100.921	99.960	99.940	--  	上证		100.362	26488	29485	  0.90	273	16	--  	--  	--  	--  	          0.16	         16.10亿	--  	 -2.73	   2213	     25	        0.0016	2	0.15	1.10	1.08	-9.36	-7.85	0	--  	--  	--  	--  	
128138	侨银转债	0.95	--  	0.00	840.56	  1.24	          1.80	1.26	111.828	111.828	111.837	1.048	7538	37	110.791	112.097	110.700	110.780	--  	上证		111.510	3325	4214	  0.79	22	1	--  	--  	--  	--  	          0.04	          4.70亿	--  	 -2.75	    540	     14	        0.0033	1	-0.14	0.72	-0.42	-5.61	-2.87	0	--  	--  	--  	--  	
113048	晶科转债	0.94	--  	0.05	10640.10	  1.35	          3.99	2.06	116.54	116.39	116.58	1.08	91678	73	115.90	117.18	114.80	115.46	--  	深证		116.06	43785	47893	  0.91	4	1	--  	--  	--  	--  	          0.23	         26.76亿	--  	 -1.47	   2335	     39	        0.0017	1	-0.26	4.21	-8.39	-25.78	-35.34	0	--  	--  	--  	--  	
